"ID";"DeviceID";"Date";"Technician";"PrimaryServiceText";"SecondaryServiceText"
"1";"6";"2016-02-02";"KG";"Service samtale med Mark, efter henvisning fra Erik";"Fremsendes til Hird som evt. garanti"
"2";"367";"2016-05-18";"EK";"IMEI
    357976068448372 
ICCID
    89462046041001264676 
IMSI
    240075819867757 
MSISDN
    467190006395477 
MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"3";"368";"2016-05-18";"EK";"IMEI
    357976068445337 
ICCID
    89462046041001264684 
IMSI
    240075819867758 
MSISDN
    467190006395478 
MOBIL NO. SETUP.
ADMIN 20490766 (BENNY)";
"4";"369";"2016-05-18";;"ICCID
    89462046041001264692 
IMSI
    240075819867759 
MSISDN
    467190006395479 
MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"5";"370";"2016-05-18";;"ICCID
    89462046041001264700 
IMSI
    240075819867760 
MSISDN
    467190006395480

MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"6";"371";"2016-05-18";;"ICCID
    89462046041001264718 
IMSI
    240075819867761 
MSISDN
    467190006395481 


MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"7";"372";"2016-05-18";;"ICCID
    89462046041001264726 
IMSI
    240075819867762 
MSISDN
    467190006395482 

MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"8";"373";"2016-05-18";;"ICCID
    89462046041001264726 
IMSI
    240075819867762 
MSISDN
    467190006395483 

MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"9";"374";"2016-05-18";;"ICCID
    89462046041001264742 
IMSI
    240075819867764 
MSISDN
    467190006395484 

MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"10";"375";"2016-05-18";;"ICCID
    89462046041001264759 
IMSI
    240075819867765 
MSISDN
    467190006395485 

MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"11";"376";"2016-05-18";;"ICCID
    89462046041001264767 
IMSI
    240075819867766 
MSISDN
    467190006395486 

MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"12";"377";"2016-05-18";;"ICCID
    89462046041001264775 
IMSI
    240075819867767 
MSISDN
    467190006395487 

MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"13";"378";"2016-05-18";;"ICCID
    89462046041001264783 
IMSI
    240075819867768 
MSISDN
    467190006395488 

MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
"14";"379";"2016-05-18";;"ICCID
    89462046041001264791 
IMSI
    240075819867769 
MSISDN
    467190006395489

MOBIL NO SETUP.:
30803138 - ADMIN
28351103 - USER1
30803139 - USER2
30803175 - USER3
30803172 - USER4";
