"ID";"Number";"Name";"Journal";"Owner"
"1";"APB-613-00";"Advanced Power Box 613 (Stralis)";;
"2";"APB-613-01";"Advanced Power Box 613 (Trakker-Cargo)";;
"3";"APB-613-03";"Advanced Power Box 613 (Daily)";;
"4";"APB-613-20";"Advanced Power Box 613 (Mercedes Actos)";;
"5";"MSS-100";"Mechtronic Slave Speedometer 100";;
"6";"W-350-0118-2";"GMV Winlet Remote 350.600";;"GMV"
"7";"W-231";"Winlet Tillerhead";;"GMV"
"8";"Winlet-575-NIV";"NIV-100 For GMV";;"GMV"
"9";"MRT-006";"Print til Manitou";;
"10";"MOT-300";"Motorværn";;
"11";"W-575-0100-2";"Winlet-575 Controler";;"GMV"
"12";"W-350-0100-2";"Winlet-350 Controler";"080321 : Softwareversion 3,20 er nu med nødstopsfunktion.";"GMV"
"13";"W-350-575-0203-2";"Winlet Terminal Print";;
"14";"W-575-0125-2";"GMV Winlet Remote 575";;"GMV"
"15";"SMR-006";"SMR-006 Scantruck print";;
"16";"W-600HD-0100-2";"Winlet 600HD Controller";;"GMV"
"17";"OLW-200";"Overload Warning";;"Lausø"
"18";"W-350TH-0100-2";"Winlet Controller";;
"19";"NIV-110";"Niveau sensor +/-90Grader X/Y +5V";;
"20";"MMB-102";"MMB-100 Config for MGG ( GSM/GPS/RF)";;
"21";"MSS-210";"Server for MSS-200";;
"22";"MSS-220";"MSS-200 spejl";;
"23";"MSL-100";"Mechtronic Speed Limit";;
"24";"MSS-150";"Mechtronic Slave Speedometer";"11092017
Fra sn.17-0118 er kontrastsymbol synligt indtil hastighed registeres.";
"25";"MHC-100";"Mechtronic Heat Control";;
"28";"MTC-150";"Mechtrinoc Trip Counter";;
"29";"PSR-200";"Proportional Styrings Regulering PSR-200";;
"30";"FRB-101";"FM Relæ Boks - FRB-101 model 2010";;"FM Maskiner"
"31";"KAX-700";"Omformer 220v - 30A";;
"32";"FBR-100";"BLUESPOT styreboks incl. kabler";;
"33";"DAI-112";"Digital Analog Inverter 2ch 12V";;
"34";"DAI-124";"Digital Analog Inverter 2ch 24V";;
"35";"MMM-120";"MiniMounter Controller print V2.00";;
"36";"FRB-100";"FM Relæ Boks - FRB-100 model 2009";;"FM Maskiner"
"37";"NIV-200";"Nieau sensor X/Y/Z 360Grader CAN bus";"Nyeste SW. version 1.6";
"38";"MSS-211";"MSS-200 server";;
"39";"JET-110";"Powerbox for Gripper/Stacker V2.0";;
"40";"KFD-100";"Print til joystick m/4 stk switche";"11/11-19 EK:Tilføjet 2 Ø3,5mm huller over regtangul. udskæring. Dett for at Jels Entrprenør kan anvende det.";
"41";"FFR-300";"Flip Forstærker Relæ kit. med FF";"Ejer : NCN
241019: 
De 2 trykknapper er udskiftet til 083863062 (Grøn). 
Iht. mail rpp@nc-nielsen.dk 181019 
";
"42";"MGG-100";"GSM/GPS modul for MMB-100";;
"43";"ISU-100-10";"Idle stop unit - Entreprenør maskiner";"HUSK at tilpasse ISU ved at følge ""Hardware ændringer""
OBS:Software hentes i KT-Software";
"44";"ISU-100-20";"Idle stop unit - Scania";;
"45";"AGV-200v1";"AGV Controller";"01-07-2017EK: Alle BAS85 dioder SKAL monteres fra d.d.
18-01-2018KG: R85 + R131 + R139 + R159 + R160 + R161 + R162 + R163 + R164 er fjernet fra d.d

02-02-2018KG: C43 + C44 fjernet.
R122 + R132 + R133 + R134 + R135 + R136 + R137 + R138 fjernet.
R123 + R124 + R125 + R126 + R127 + R128 + R129 + R130 + R165 fjernet.
R166 ændret til 1K d.d
Layout ændres-10 uF monteres til GND på POTSUP1  og POTSUP2, Buffer(MC33202) på DAC udgange mellem CPU og analog-switch.";
"46";"APB-613-04";"Advanced Power Box 613 (Stralis 04)";;
"47";"W-230";"Winlet Tillerhead";;"GMV"
"48";"NIV-511";"Display for grusafretter.";;
"49";"AGV-250";"Powerbox for  grusagretter.";;
"50";"MOU-311";"Moutit Multi Trolly controller";;
"51";"U2F-210";"2 ch. speeder interface for rendegraver";;"Lausø"
"52";"FFR-310";"FLIP FLOP RELAY";"Ejer: NCN
241019: 
De 2 trykknapper er udskiftet til 083863062 (Grøn). 
Iht. mail rpp@nc-nielsen.dk 181019 
";
"53";"TT-1000";"Komplet Kabelkit for Mountit Transittrol";;
"54";"LPC-100";"Liniær Position Controller";;
"55";"APC-102";"Analog PWM Converter - 2 kanal";;
"56";"APB-613-05";"Advanced Power Box 613 (Daily MY2016)";;
"57";"APB-613";"Advanced Power Box 613 (12V)";;
"58";"W-1000-0100";"Controller for Winlet 1000 V2.0";;"GMV"
"59";"W-785-0100";"Winlet-785 Controller";;
"60";"AFK-1000";"AL Flexmover Kit";;
"61";"NIV-100";"Niveau sensor +/-10Grader X/Y +5V";;
"62";"JRK-210";"JCB Relæ Kit";;
"63";"MAM-110";"Mechtronic Analog Monitor 110";;
"64";"MAM-100";"Mechtronic Analog Monitor 100";;
"66";"PSI-050";"Passeger Speed Instrument";;
"67";"NIV-200-GMV";"Niveau sensor X/Y/Z 360Grader CAN bus";;"GMV"
"68";"APB-613-IO";"Advanced Power Box 613 ( IO )";;
"69";"HVL-100";"Hvalpelytter (Specialbutikken Holstebro)";;
"70";"MCA-100";"Mechtronic Code Access";"2022/02/11 MR/KG: BUG 17 aflyses, da monterings- og betjeningsvejledning er opdateret.";
"71";"MSS-211 V2";"Server for MSS-220/221 ";;
"72";"MSS-221";"MSS-200 Spejl V. 2 ";"OBS!!!
Keil software startes fra KT Software
2021/10/20 MR: Bug er tilsyneladende rettet af NK";
"73";"APB-6132";"Advanced Power Box 6132";;
"74";"W-350-0118";"Winlet 350 Bet. LEAX";;
"75";"W-575-0125";"Winlet 575 Bet LEAX";;
"76";"W-575-0100";"LEAX CONTROLLER WINLET 350";;
"77";"GDL-100";"Geo Data Log PC tool";"28062018: RS232 kreds skal være monteret.";"Ivan Jakobsen"
"78";"NIV-101";"Niveau sensor +/-10Grader X/Y +10-30V";;
"79";"NIV-120";"Niveau sensor +/-90Grader X/Y +12-30Vsup";;
"80";"AHB-210";"Styringsprint";;
"81";"AHB-220";"Betjeningspanel";;
"82";"UVC-8000";"UVC 30 kanals controler med GSM interface";"GSM No.:
";"NatDis"
"83";"W-350-0100";"LEAX CONTROLLER WINLET 350";;
"84";"Winlet-100";"Winlet terminalprint Leax";;
"85";"W-600-0100";"LEAX WINLET CONTROLLER 600";;
"86";"ISU-100-30";"Idle stop unit- Komatsu oa.";"HUSK at tilpasse ISU ved at følge ""Hardware ændringer""";
"87";"W-350XL-0100-2";"Winlet 350XL controller";;
"88";"W-350-0118-3";"GMV Winlet Remote 350.600 W/Emergency Stop";;"GMV"
"89";"GVL-100";"GMV Vacuum Løfteåg";;"GMV"
"90";"W-LASIUS-0100-2";"LASIUS Controller";"17/3 2020 aftalt med Henrik Hedegaard at det er Ver3.16, der anvendes.NV (den version der er mærket: WindowLiftController-Lasius1T)";
"91";"JET-131 453000";"Just Easy Tool Switch boks for omskifterventil";;
"92";"NCN-38xDiode";"KIT2350-1";"24062019: Husk dioden skal være 5A Vareno.: 00.025.0550";
